Model,Setting,BLEU-1,METEOR,ROUGE-L,Content Coverage,OCR Recall
Florence-2,w/o Context,12.137345571169014,12.679126908646987,12.87062045614876,7.032369556595266,9.75572448523905
Gemma3,w/ Context,7.189845300516383,15.866023923905832,12.869705622643457,28.706053327587608,84.99788408884386
Gemma3,w/o Context,5.364763719647567,13.651348778903293,10.550328198329746,8.783169296860155,35.66806198680202
Ministral3,w/ Context,6.7129517764537825,16.58376794367271,12.281704168134862,21.314440525813065,76.09885831738833
Ministral3,w/o Context,5.009988787350469,14.322682061483713,9.89106298360724,8.462379603251605,38.42754247090176
Qwen2.5VL,w/ Context,12.452064123268718,16.972623361006878,19.321100586520448,22.566875772461977,56.68377778127135
Qwen2.5VL,w/o Context,6.273623438886215,15.691280461693102,11.298554770867607,10.046674275539642,41.49920000941687
